update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,reshaped_return_mean,reshaped_return_std,reshaped_return_min,reshaped_return_max,reshaped_return_bonus_mean,reshaped_return_bonus_std,reshaped_return_bonus_min,reshaped_return_bonus_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
289,5775,739840,72.5566062740633,10219,0.009472656063735485,0.07518687659967632,0.0,0.606249988079071,0.015625,0.189453125,1.5037375615621014,0.0,12.125,0.0,0.0,0.0,0.0,126.875,8.929410674842993,56.0,128.0,1.9347846388816832,0.045896419510245326,0.017148563428781925,0.0007865114836022257,-0.0018060266156680882,0.02265407145023346
290,5789,742400,71.63880838204526,10254,0.009472656063735485,0.07518687659967632,0.0,0.606249988079071,0.015625,0.189453125,1.5037375615621014,0.0,12.125,0.0,0.0,0.0,0.0,126.875,8.929410674842993,56.0,128.0,1.934553050994873,0.0328912194352597,0.008963363675866276,0.0006975240394240245,-0.010033403988927603,0.009402621071785688
291,5801,744960,71.90280704870241,10290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9345701545476914,0.023881346825510262,0.007298035791609436,0.0002421676279482199,-0.011926581617444754,0.004255979787558317
292,5834,747520,72.72328130702344,10325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9352128833532334,0.013099065865390003,0.00717144543887116,0.000410151545656845,-0.011975607834756374,0.005330595653504133
293,5852,750080,72.44741972510064,10360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.93554730117321,0.006113704846939072,0.00014841902302578083,0.00017565261350682704,-0.019119229167699814,0.006327260285615921
294,5863,752640,72.4144708785222,10396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9356500953435898,0.00701889549382031,0.0014030206995812478,0.00013276127210701816,-0.017887099646031857,0.007227185182273388
295,5896,755200,72.52621066552807,10431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.936012464761734,0.005332117428770289,0.0013135526914993534,0.00015346776717706234,-0.017969838343560696,0.004610198549926281
296,5913,757760,72.39855051840082,10466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.936365321278572,0.0034255068516358734,0.0008892303212633124,6.219569158929516e-05,-0.018443324603140354,0.003779614344239235
297,5926,760320,72.36909732506885,10502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9367462545633316,0.001749600755283609,0.0010544136363023426,6.998029821261297e-05,-0.01827805768698454,0.0044840178452432156
298,5960,762880,72.28820013775628,10537,0.006176757626235485,0.049026493763222226,0.0,0.39531248807907104,0.015625,0.12353515625,0.9805299048330196,0.0,7.90625,0.0,0.0,0.0,0.0,127.34375,5.208822893658413,86.0,128.0,1.9385761082172395,0.03789357552304864,-0.06662344354845118,0.3843925875844434,0.10618709027767181,0.1353602036833763
299,5973,765440,72.18352215554876,10573,0.006176757626235485,0.049026493763222226,0.0,0.39531248807907104,0.015625,0.12353515625,0.9805299048330196,0.0,7.90625,0.0,0.0,0.0,0.0,127.34375,5.208822893658413,86.0,128.0,1.9383206218481064,0.055733059719204905,0.011179959471337497,0.002688248027698137,-0.006859122077003121,0.056217558681964874
300,5989,768000,72.38519065180834,10608,0.006176757626235485,0.049026493763222226,0.0,0.39531248807907104,0.015625,0.12353515625,0.9805299048330196,0.0,7.90625,0.0,0.0,0.0,0.0,127.34375,5.208822893658413,86.0,128.0,1.9370939612388611,0.03859650776721538,0.015241689176764339,0.001096545711334329,-0.0035809770924970508,0.014705596957355738
301,6022,770560,72.80810252028479,10643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.936587205529213,0.02245224639773369,0.012109807378146799,0.000832376867037965,-0.006839876063168049,0.010379015235230327
302,6034,773120,72.64363130346189,10679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.93601533472538,0.01655897037126124,0.0074563480913639076,0.0004092478357051732,-0.011699180584400892,0.007142049493268132
